UNITID,Institution,City,State,Sector,Control,CohortYear,GRReportingYear,GR200ReportingYear,CohortType,AwardLevel,InitialCohort,Exclusions,AdjustedCohort,Completers100,Completers150,Completers200,TransferOut,GraduationRate100,GraduationRate150,GraduationRate200,TransferOutRate,PeerGroup,DisplayOrder,IsCaldwell,PeerGroupName
212984,Holy Family University,Philadelphia,PA,"Private nonprofit, 4-year or above",Private nonprofit,2009,2015,2017,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,366,3,363,167,208,209,113,46.005509641873275,57.30027548209367,57.57575757575758,31.129476584022036,Peer Institution,7,FALSE,Caldwell University Graduation Rate Peer Group
212984,Holy Family University,Philadelphia,PA,"Private nonprofit, 4-year or above",Private nonprofit,2010,2016,2018,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,322,0,322,131,190,193,92,40.683229813664596,59.006211180124225,59.93788819875776,28.57142857142857,Peer Institution,7,FALSE,Caldwell University Graduation Rate Peer Group
212984,Holy Family University,Philadelphia,PA,"Private nonprofit, 4-year or above",Private nonprofit,2011,2017,2019,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,281,0,281,125,154,167,90,44.48398576512456,54.804270462633454,59.430604982206404,32.028469750889684,Peer Institution,7,FALSE,Caldwell University Graduation Rate Peer Group
212984,Holy Family University,Philadelphia,PA,"Private nonprofit, 4-year or above",Private nonprofit,2012,2018,2020,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,308,0,308,140,184,185,114,45.45454545454545,59.74025974025974,60.26058631921825,37.01298701298701,Peer Institution,7,FALSE,Caldwell University Graduation Rate Peer Group
212984,Holy Family University,Philadelphia,PA,"Private nonprofit, 4-year or above",Private nonprofit,2013,2019,2021,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,283,4,279,112,160,162,41,40.14336917562724,57.34767025089605,58.06451612903226,14.695340501792115,Peer Institution,7,FALSE,Caldwell University Graduation Rate Peer Group
212984,Holy Family University,Philadelphia,PA,"Private nonprofit, 4-year or above",Private nonprofit,2014,2020,2022,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,249,0,249,108,141,144,32,43.373493975903614,56.62650602409639,57.831325301204814,12.851405622489958,Peer Institution,7,FALSE,Caldwell University Graduation Rate Peer Group
212984,Holy Family University,Philadelphia,PA,"Private nonprofit, 4-year or above",Private nonprofit,2015,2021,2023,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,333,1,332,138,186,189,85,41.566265060240966,56.024096385542165,56.92771084337349,25.602409638554217,Peer Institution,7,FALSE,Caldwell University Graduation Rate Peer Group
212984,Holy Family University,Philadelphia,PA,"Private nonprofit, 4-year or above",Private nonprofit,2016,2022,2024,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,323,0,323,137,188,189,86,42.414860681114554,58.204334365325074,58.51393188854489,26.625386996904027,Peer Institution,7,FALSE,Caldwell University Graduation Rate Peer Group
212984,Holy Family University,Philadelphia,PA,"Private nonprofit, 4-year or above",Private nonprofit,2017,2023,NA,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,353,0,353,NA,212,NA,82,NA,60.05665722379604,NA,23.229461756373937,Peer Institution,7,FALSE,Caldwell University Graduation Rate Peer Group
212984,Holy Family University,Philadelphia,PA,"Private nonprofit, 4-year or above",Private nonprofit,2018,2024,NA,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,347,0,347,NA,209,NA,74,NA,60.23054755043228,NA,21.32564841498559,Peer Institution,7,FALSE,Caldwell University Graduation Rate Peer Group
147013,McKendree University,Lebanon,IL,"Private nonprofit, 4-year or above",Private nonprofit,2009,2015,2017,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,305,0,305,102,170,175,NA,33.442622950819676,55.73770491803278,58.7248322147651,NA,Peer Institution,8,FALSE,Caldwell University Graduation Rate Peer Group
147013,McKendree University,Lebanon,IL,"Private nonprofit, 4-year or above",Private nonprofit,2010,2016,2018,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,341,6,335,121,174,178,NA,36.11940298507463,51.94029850746269,53.293413173652695,NA,Peer Institution,8,FALSE,Caldwell University Graduation Rate Peer Group
147013,McKendree University,Lebanon,IL,"Private nonprofit, 4-year or above",Private nonprofit,2011,2017,2019,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,290,5,285,106,146,147,NA,37.19298245614035,51.2280701754386,51.578947368421055,NA,Peer Institution,8,FALSE,Caldwell University Graduation Rate Peer Group
147013,McKendree University,Lebanon,IL,"Private nonprofit, 4-year or above",Private nonprofit,2012,2018,2020,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,297,3,294,128,160,160,NA,43.53741496598639,54.421768707483,54.421768707483,NA,Peer Institution,8,FALSE,Caldwell University Graduation Rate Peer Group
147013,McKendree University,Lebanon,IL,"Private nonprofit, 4-year or above",Private nonprofit,2013,2019,2021,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,387,7,380,178,228,229,NA,46.8421052631579,60,60.26315789473684,NA,Peer Institution,8,FALSE,Caldwell University Graduation Rate Peer Group
147013,McKendree University,Lebanon,IL,"Private nonprofit, 4-year or above",Private nonprofit,2014,2020,2022,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,421,11,410,184,220,221,NA,44.87804878048781,53.65853658536586,53.90243902439025,NA,Peer Institution,8,FALSE,Caldwell University Graduation Rate Peer Group
147013,McKendree University,Lebanon,IL,"Private nonprofit, 4-year or above",Private nonprofit,2015,2021,2023,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,362,20,342,147,190,191,NA,42.98245614035088,55.55555555555556,55.84795321637427,NA,Peer Institution,8,FALSE,Caldwell University Graduation Rate Peer Group
147013,McKendree University,Lebanon,IL,"Private nonprofit, 4-year or above",Private nonprofit,2016,2022,2024,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,458,20,438,197,243,244,NA,44.97716894977169,55.47945205479452,56.09195402298851,NA,Peer Institution,8,FALSE,Caldwell University Graduation Rate Peer Group
147013,McKendree University,Lebanon,IL,"Private nonprofit, 4-year or above",Private nonprofit,2017,2023,NA,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,364,13,351,NA,209,NA,NA,NA,59.54415954415955,NA,NA,Peer Institution,8,FALSE,Caldwell University Graduation Rate Peer Group
147013,McKendree University,Lebanon,IL,"Private nonprofit, 4-year or above",Private nonprofit,2018,2024,NA,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,362,47,315,NA,168,NA,NA,NA,53.333333333333336,NA,NA,Peer Institution,8,FALSE,Caldwell University Graduation Rate Peer Group
